Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-03-29,C - Crucial,43.70436,-79.34982,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-03-29,C - Crucial,43.70436,-79.34982,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food areas - Sec.  33(1)(e)
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-07-24,C - Crucial,43.70436,-79.34982,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-08-18,C - Crucial,43.70436,-79.34982,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALBERTO'S SPORTS BAR & GRILL,2024-03-05,C - Crucial,43.74894,-79.56097,Store ice in unsanitary manner - Sec.  26(5) 
ALBERTO'S SPORTS BAR & GRILL,2024-03-05,C - Crucial,43.74894,-79.56097,Food premise maintained in manner to permit contamination of single-service containers - Sec. 7(1)(h)  
ALEXANDROS TAKE OUT,2023-11-29,C - Crucial,43.64146,-79.37521,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALI BABA 'S,2024-05-07,C - Crucial,43.6421,-79.41142,Food premise maintained in manner to permit contamination of single-service articles - Sec. 7(1)(h)  
ALI BABA 'S,2024-05-07,C - Crucial,43.6421,-79.41142,Fail to ensure food handler in food premise refrains from conduct that could result in contamination of food - Sec. 33(1)(h) 
Samosa + Patty,2023-02-03,C - Crucial,43.66338,-79.41846,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALI BABA'S,2024-02-22,C - Crucial,43.76937,-79.54873,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ALI BABA'S MIDDLE EASTERN CUISINE,2023-02-21,C - Crucial,43.64087,-79.4353,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALI BABA'S MIDDLE EASTERN CUISINE,2023-07-13,C - Crucial,43.64087,-79.4353,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALI BABA'S MIDDLE EASTERN CUISINE,2023-11-20,C - Crucial,43.65114,-79.47727,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALI'S NO FRILLS,2022-06-21,C - Crucial,43.66326,-79.36754,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALL IN ONE ENTERPRISE,2023-06-20,C - Crucial,43.69244,-79.44098,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALL SEASON FOOD MARKET,2023-10-19,C - Crucial,43.69731,-79.44174,Store ice in unsanitary manner - Sec.  26(5) 
ALMINZ BAKESHOP,2023-08-23,C - Crucial,43.73888,-79.43404,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ALOETTE GO,2023-11-08,C - Crucial,43.70882,-79.39912,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALTONA KABOB,2024-05-17,C - Crucial,43.79125,-79.41782,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMAYA,2023-04-03,C - Crucial,43.72608,-79.45147,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AMAYA,2023-04-03,C - Crucial,43.72608,-79.45147,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AMAYA,2023-04-03,C - Crucial,43.72608,-79.45147,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMAZING SICHUAN CUISINE,2024-04-24,C - Crucial,43.75769,-79.19934,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AMBASSADOR SAUNA,2023-12-06,C - Crucial,43.75534,-79.44086,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AMIRTHAM TAKE-OUT,2024-06-10,C - Crucial,43.80255,-79.19945,Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)
