Establishment Name,Inspection Date,Severity,Latitude,Longitude,Infraction Details
AL MEEZAN GROCERY & TAKE OUT,2022-07-13,C - Crucial,43.737640159748295,-79.56673290038971,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-03-29,C - Crucial,43.70456318104857,-79.35007390963096,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-03-29,C - Crucial,43.70492588393202,-79.34917624616348,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food areas - Sec.  33(1)(e)
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-07-24,C - Crucial,43.70464616991728,-79.34986727392749,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AL-MINA HALAL MEAT & GROCERY/ MADINA NAAN & KABOB,2023-08-18,C - Crucial,43.70437184098797,-79.34952085661595,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALBERTO'S SPORTS BAR & GRILL,2024-03-05,C - Crucial,43.74911391730007,-79.56063264558384,Store ice in unsanitary manner - Sec.  26(5) 
ALBERTO'S SPORTS BAR & GRILL,2024-03-05,C - Crucial,43.749091381548844,-79.56106107067072,Food premise maintained in manner to permit contamination of single-service containers - Sec. 7(1)(h)  
ALEXANDROS TAKE OUT,2023-11-29,C - Crucial,43.64125332973421,-79.37553536294517,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALI BABA 'S,2024-05-07,C - Crucial,43.641769223947996,-79.41146817978398,Food premise maintained in manner to permit contamination of single-service articles - Sec. 7(1)(h)  
ALI BABA 'S,2024-05-07,C - Crucial,43.642164095579126,-79.41197278176168,Fail to ensure food handler in food premise refrains from conduct that could result in contamination of food - Sec. 33(1)(h) 
Samosa + Patty,2023-02-03,C - Crucial,43.66292140571859,-79.41916610504525,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALI BABA'S,2024-02-22,C - Crucial,43.76951665098798,-79.54874513613868,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ALI BABA'S MIDDLE EASTERN CUISINE,2023-02-21,C - Crucial,43.64087428455818,-79.43595927881954,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALI BABA'S MIDDLE EASTERN CUISINE,2023-07-13,C - Crucial,43.640686148756636,-79.43538195145769,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALI BABA'S MIDDLE EASTERN CUISINE,2023-11-20,C - Crucial,43.65105602828657,-79.47700982672953,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ALI'S NO FRILLS,2022-06-21,C - Crucial,43.66329408119825,-79.36725945364506,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALL IN ONE ENTERPRISE,2023-06-20,C - Crucial,43.692387772480785,-79.44044765112596,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALL SEASON FOOD MARKET,2023-10-19,C - Crucial,43.697581573507,-79.44192653827328,Store ice in unsanitary manner - Sec.  26(5) 
ALMINZ BAKESHOP,2023-08-23,C - Crucial,43.73854992617766,-79.4342634805355,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ALOETTE GO,2023-11-08,C - Crucial,43.708872987257706,-79.39912028680119,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ALTONA KABOB,2024-05-17,C - Crucial,43.79066756259231,-79.41837746511153,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMAYA,2023-04-03,C - Crucial,43.7262329090677,-79.45146155933931,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AMAYA,2023-04-03,C - Crucial,43.72618092022206,-79.45127002187623,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AMAYA,2023-04-03,C - Crucial,43.72627659600879,-79.4511437057807,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMAZING SICHUAN CUISINE,2024-04-24,C - Crucial,43.75828924421478,-79.19953088602986,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AMBASSADOR SAUNA,2023-12-06,C - Crucial,43.755770757923976,-79.44104483961728,Fail to protect food from contamination or adulteration - Sec. 26(1) 
AMIRTHAM TAKE-OUT,2024-06-10,C - Crucial,43.80262726969527,-79.19901586526595,Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)
AMMA MOMO HOUSE,2024-05-10,C - Crucial,43.673585466641725,-79.28299800511832,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMOR A LA MEXICANA,2024-01-11,C - Crucial,43.75161807932071,-79.55214616066351,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AMPLE FOOD MARKET,2023-10-10,C - Crucial,43.6819343544588,-79.47508768830453,Display potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
AMTU  DISCOUNT &CONVENIENCE,2023-10-23,C - Crucial,43.680666486748365,-79.28680934592893,Fail to ensure storage racks designed to protect against contamination - Sec. 31
ANEJO RESTAURANT,2022-10-27,C - Crucial,43.734368040373504,-79.3457423441632,Hot-holding potentially hazardous foods at internal temperature below 60 C - Sec. 30(a)
ANIMAL LIBRATION KITCHEN,2023-07-28,C - Crucial,43.65831244168774,-79.35043957277303,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ANJAPPAR CHETTINAD,2022-07-22,C - Crucial,43.74156575960276,-79.22669544220327,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ANNALAKSHMI,2022-08-10,C - Crucial,43.64496941002523,-79.3918328065597,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ANNALAKSHMI,2023-09-22,C - Crucial,43.644929548612346,-79.39180938382381,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ANOUSH MIDDLE EASTERN CUISINE,2023-10-04,C - Crucial,43.643239251322726,-79.39120158615141,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ANTHONY'S CAFE,2022-09-09,C - Crucial,43.72348971627649,-79.33703491941428,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ANTONIO PARK RESTAURANT,2023-05-24,C - Crucial,43.66952297656273,-79.38909708007832,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
APOTEX JEWISH HOME FOR THE AGED,2024-01-19,C - Crucial,43.7308469864994,-79.43428524749538,Fail to protect food from contamination or adulteration - Sec. 26(1) 
APOTEX JEWISH HOME FOR THE AGED,2024-01-19,C - Crucial,43.73001146146746,-79.43365001733194,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
APOTEX JEWISH HOME FOR THE AGED,2024-01-19,C - Crucial,43.73007746688703,-79.43453270702696,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
ARAMARK CANADA,2022-10-12,C - Crucial,43.78226316253137,-79.24241395705216,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
ARIAM CAFE,2024-04-25,C - Crucial,43.68193437413657,-79.33088793638606,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ARIZONA B-BAR & GRILL,2023-03-29,C - Crucial,43.68349615549341,-79.59274760701906,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ARMENIAN KITCHEN,2022-08-03,C - Crucial,43.73073112537007,-79.30601059594235,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
ARMENIAN KITCHEN,2023-10-24,C - Crucial,43.73076509356819,-79.30549719387541,Fail to ensure food handler in food premise washes hands as necessary to prevent contamination of food - Sec. 33(1)(e) 
AROMA ESPRESSO BAR,2022-08-24,C - Crucial,43.70762724732435,-79.39935612972548,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
AROMA ESPRESSO BAR,2023-07-18,C - Crucial,43.70715771022229,-79.399312240798,Refrigerate potentially hazardous foods at internal temperature above 4 C - Sec. 30(a)
AROMA FINE INDIAN CUISINE,2022-06-30,C - Crucial,43.64617566190433,-79.38914892354647,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ARSENIOS KITCHEN,2022-08-08,C - Crucial,43.70827699737445,-79.30204456996906,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ARSENIOS KITCHEN,2022-12-19,C - Crucial,43.70795140934125,-79.3023321684083,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ARSENIOS KITCHEN,2023-08-01,C - Crucial,43.707830466197386,-79.302163775607,Food premise maintained in manner permitting adverse effect on food - Sec. 7(1)(a)(iii) 
ASIA DELIGHT,2022-07-27,C - Crucial,43.75693486461149,-79.31227828872385,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ASIA DELIGHT,2022-07-27,C - Crucial,43.75709791936103,-79.31296267566218,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIA DELIGHT,2023-10-25,C - Crucial,43.75725553569036,-79.31211635295321,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIA DELIGHT,2024-06-06,C - Crucial,43.757098520273864,-79.3123910801834,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIA FOOD MART,2024-02-28,C - Crucial,43.814914249014016,-79.2962266431718,Store potentially hazardous foods at internal temperature between 4 C and 60 C - Sec. 27(1)
ASIAN BUFFET,2023-06-21,C - Crucial,43.71080420128418,-79.5683390342286,Fail to protect food from contamination or adulteration - Sec. 26(1) 
ASIAN BUFFET,2023-06-21,C - Crucial,43.71103131322316,-79.5690335867629,Maintain potentially hazardous foods at internal temperature between 4 C and 60 C -  Sec. 27(1)
ASIAN FOOD CENTRE GOCERY SHOP,2023-06-23,C - Crucial,43.74189228468062,-79.60459230266757,Fail to protect food from contamination or adulteration - Sec. 26(1) 
